Date,Open,High,Low,Close,Adj Close,Volume
30-09-2020,261.980011,266.079987,260.100006,261.899994,261.622406,20142500
29-01-2021,265.299988,266.559998,254.850006,258.329987,258.056183,30389500
08-12-2020,286.01001,286.429993,281.549988,283.399994,283.099609,10747700
07-12-2021,321.570007,326.540009,321.0,322.809998,322.467865,18794000
12-03-2024,493.26001,502.309998,484.730011,499.75,499.75,15448200
22-03-2022,211.369995,219.460007,210.179993,216.649994,216.420364,31998800
19-06-2020,237.789993,240.830002,235.550003,238.789993,238.536896,30081300
05-10-2023,304.630005,306.209991,299.5,304.790009,304.46698,19130000
12-01-2022,335.179993,336.369995,330.029999,333.26001,332.906799,14104900
08-07-2022,169.979996,172.399994,168.149994,170.880005,170.698898,19249200
06-11-2023,315.980011,318.329987,314.450012,315.799988,315.465271,12887700
13-10-2023,323.529999,325.049988,312.369995,314.690002,314.356476,21341000
02-07-2020,239.0,240.0,232.610001,233.419998,233.172592,30633600
18-06-2020,234.990005,236.139999,232.149994,235.940002,235.689926,15782500
16-11-2021,343.829987,346.649994,340.869995,342.959991,342.596497,18181100
21-11-2023,338.329987,339.899994,335.899994,336.980011,336.622864,12027900
25-03-2020,158.919998,162.990005,153.059998,156.210007,156.044449,35184300
24-05-2022,180.550003,183.679993,176.110001,181.279999,181.08786,50406300
14-02-2023,177.160004,181.509995,175.880005,179.479996,179.289764,24034600
03-06-2020,232.110001,232.649994,228.529999,230.160004,229.916061,15380300
12-07-2022,164.800003,165.910004,162.100006,163.270004,163.096954,16639700
21-06-2021,331.089996,332.920013,327.649994,332.290009,331.937805,11337500
26-01-2021,278.140015,285.390015,277.809998,282.049988,281.751038,19373600
10-03-2020,174.669998,178.289993,169.5,178.190002,178.001144,24517800
21-05-2021,319.290009,319.929993,315.809998,316.230011,315.894836,13600900
09-10-2020,264.519989,264.75,262.170013,264.450012,264.169739,14107800
29-05-2020,225.199997,227.490005,222.880005,225.089996,224.851425,23241500
02-11-2023,317.299988,318.820007,308.329987,310.869995,310.540497,21631800
26-01-2024,394.350006,396.790009,391.589996,394.140015,393.72226,13163700
10-03-2023,181.009995,184.770004,178.800003,179.509995,179.319733,25665000
10-01-2024,360.170013,372.940002,359.079987,370.470001,370.077332,22117200
19-01-2021,256.899994,262.200012,252.720001,261.100006,260.823273,28028500
21-06-2023,283.529999,284.0,278.359985,281.640015,281.341522,20556200
05-10-2021,328.579987,335.179993,326.160004,332.959991,332.607086,35377900
15-02-2023,176.419998,178.190002,175.330002,177.160004,176.972229,25308900
18-03-2021,279.869995,285.190002,278.279999,278.619995,278.324677,18728300
11-05-2021,300.75,306.839996,299.690002,306.529999,306.205109,18920100
13-10-2022,123.529999,131.139999,122.529999,130.289993,130.151901,34325700
31-03-2021,289.98999,296.5,288.609985,294.529999,294.217834,19498200
